text,iab_label,confidence
samsung galaxy s5 dualsim variant exclusively launched china,IAB19 Technology & Computing,0.2
new road exemplifies xinjiang prosperity stability drive,IAB20 Travel,0.35
demi lovato selena gomez feuding really dont care singer,IAB24 Uncategorized,0.11
latest recalls add gms woes,IAB12 News,0.14
wedbush lowers smith wesson holding corp price target 1500 swhc,IAB3 Business,0.13
video graco gives agrees recall infant car seats,IAB2 Automotive,0.19
samsung reveals galaxy tab lineup everything need know,IAB19 Technology & Computing,0.21
help rescue space probe kerry geneva korean captain apologizes,IAB20 Travel,0.47
poll buying htc one m8 samsung galaxy s5,IAB19 Technology & Computing,0.33
morgan stanley sees 2014 another year transition ibm,IAB24 Uncategorized,0.1
watch bachelor finale tonight 7 pm,IAB1 Arts & Entertainment,0.21
first peek vlc media player windows phone,IAB19 Technology & Computing,0.16
ohio geologists link fracking earthquakes,IAB15 Science,0.59
sub holders bes 75 likely repaid says soc gen,IAB14 Society,0.35
tycoons lunch homeless backfires,IAB8 Food & Drink,0.16
ice cube jokes paul walker robbed mtv movie award,IAB1 Arts & Entertainment,0.33
american idol sam woolf dark horse,IAB17 Sports,0.24
remembering fallen imperial war museum reopens 40million,IAB12 News,0.15
want google glass heres get one,IAB19 Technology & Computing,0.36
experts raise questions newly revealed saudi mers cases,IAB12 News,0.27
mariah carey didnt sex nick cannon wedding night,IAB24 Uncategorized,0.12
true tori spoilers dean mcdermott says sex wasnt fantastic,IAB12 News,0.3
report americans want better fast food,IAB8 Food & Drink,0.57
report woman investigation involving kaepernick given rape test,IAB12 News,0.64
philip morris cuts earnings forecast following plant closures,IAB3 Business,0.4
kim kardashian kanye wests wedding plans threatened french law,IAB12 News,0.23
mad men review days work season 7 episode 2,IAB3 Business,0.17
excessive drinking behind one ten deaths cdc,IAB8 Food & Drink,0.18
dylans like rolling stone draft sells 2m kmph fox 26 central san,IAB20 Travel,0.11
many lawmakers investigating gm long helped auto maker,IAB2 Automotive,0.6
james franco denies ever slept lindsay lohan,IAB12 News,0.18
obama order forces philly rail workers back job,"IAB11 Law, Gov’t & Politics",0.34
glenn beck warns dangerous disinformation noah film,IAB24 Uncategorized,0.14
microsoft tweak policies searching hotmail accounts,IAB19 Technology & Computing,0.24
benham brothers blame hgtv cancellation antifaith agenda love,IAB23 Religion & Spirituality,0.19
nashville star hayden panettiere pregnant first child wladimir klitschko,IAB1 Arts & Entertainment,0.42
ikea raise minimum wage,IAB3 Business,0.14
net neutrality new fcc proposal coming may 15,IAB12 News,0.23
rada approves amendments 2014 state budget,"IAB11 Law, Gov’t & Politics",0.23
san francisco moves ban monkeyparking app,IAB12 News,0.13
cousteau back month underwater reef lab,IAB15 Science,0.31
oracles surprise win java api case could make harder developers,IAB19 Technology & Computing,0.33
bluffers guide eurovision 2014,IAB1 Arts & Entertainment,0.34
ford reveals 50th anniversary mustang new york show,IAB1 Arts & Entertainment,0.37
microsoft surface pro 3 execution match message,IAB19 Technology & Computing,0.17
new york state joins lawsuit fedex shipping untaxed cigarettes,"IAB11 Law, Gov’t & Politics",0.22
watch finally beyonce jay z reveal supersecret wedding video,IAB12 News,0.37
california start granting licenses driverless cars september,IAB2 Automotive,0.24
omaha songwriter releases cds gay love songs,IAB12 News,0.18
mccartney still ill cancels south korea concert,IAB1 Arts & Entertainment,0.24
car sales expected rise marginally fy15 siam,IAB2 Automotive,0.41
google novartis plans smart contact lenses,IAB19 Technology & Computing,0.22
amanda bynes looks healthy happy pic,IAB6 Family & Parenting,0.14
editor gabriel garcia marquez left unpublished manuscript,IAB24 Uncategorized,0.49
lindsay lohan says suffered miscarriage,IAB6 Family & Parenting,0.17
week music weird als new music turn fans ac cbs 3,IAB12 News,0.18
doctors using new drug help missionary battling ebola,IAB12 News,0.26
sandisk fire 11b bid fusionio,IAB19 Technology & Computing,0.09
treasury bonds slip yellen comments,IAB12 News,0.17
valeant bid botox maker allergan,IAB3 Business,0.34
time remaining 6 days,IAB24 Uncategorized,0.1
emmys best worst moments,IAB24 Uncategorized,0.14
happy birthday mustang classic car turns 50,IAB2 Automotive,0.23
sign paypal fingerprint,IAB13 Personal Finance,0.33
free hepatitis vaccinations red robin customers springfield,IAB17 Sports,0.21
watch newly single gwyneth paltrow perform raunchy glee dance,IAB1 Arts & Entertainment,0.26
gold holds drop 3month high us rates outlook,IAB12 News,0.17
mark ruffalo jennifer garner arent friends ben affleck,IAB12 News,0.11
gileads blockbuster sales leave investors stunned,IAB3 Business,0.26
google builds selfdriving car sans steering wheel,IAB2 Automotive,0.3
fda questions heart attack prevention method,IAB24 Uncategorized,0.2
new michael jackson album coming soon,IAB1 Arts & Entertainment,0.33
2 weeks signup deadline obamacare hits 5m enrollees,"IAB11 Law, Gov’t & Politics",0.17
users angered facebook emotionmanipulation study,IAB24 Uncategorized,0.15
walmarts profit slips first quarter,IAB3 Business,0.64
miley cyrus empowering women antics,IAB1 Arts & Entertainment,0.19
day 2 earning,IAB24 Uncategorized,0.1
apple ios 8 offer speedy locationbased app suggestions,IAB20 Travel,0.11
postal workers union protests mail counters staples stores,IAB24 Uncategorized,0.14
corn seen higher soybeans lower wednesday,IAB20 Travel,0.09
former skype ceo tony bates leaves microsoft gopro,IAB3 Business,0.36
amd takes swing custom arm,IAB2 Automotive,0.24
euro canadian dollar tumbled fivemonth low inflation data,IAB13 Personal Finance,0.12
us stock futures point higher opening following dows record showing,IAB3 Business,0.18
facebook cfo steps amid 72 revenue jump,IAB3 Business,0.11
apple mocks samsung earth day ad,IAB19 Technology & Computing,0.12
miley cyrus scottrade show gets makeup date,IAB1 Arts & Entertainment,0.48
another moto e render leaks time showing handset white,IAB2 Automotive,0.18
mad mens shocking moments season season,IAB12 News,0.2
walt disney pictures announces sequel cars incredibles,IAB1 Arts & Entertainment,0.52
weight loss products recalled due suspected tampering,IAB24 Uncategorized,0.14
supreme court decide fate cheap tv,IAB24 Uncategorized,0.13
california moving millions salmon via trucks away droughthit areas,IAB20 Travel,0.27
first teaser hunger games mockingjay part 1 drops,IAB1 Arts & Entertainment,0.21
punching movie packs punch people like punching,IAB1 Arts & Entertainment,0.14
good news obamacare mass reforms might saving 320 lives year,IAB12 News,0.84
sony xperia z2 launch first vodafone,IAB14 Society,0.25
trading probe hedge fund risk fannie bill compliance,IAB3 Business,0.22
acne products could deadly,IAB24 Uncategorized,0.17
walmart barnes noble slash prices hachetteamazon feud continues,IAB3 Business,0.35
reputable sources confirm eva mendes ryan gosling expecting baby,IAB12 News,0.48
mystery bulgarias bank run,IAB24 Uncategorized,0.32
us drug regulator approves headband device prevent migraines,IAB3 Business,0.14
anonymous hiddencash creates social media frenzy,IAB24 Uncategorized,0.38
womans crop top intimidating planet fitness,IAB7 Health & Fitness,0.23
longterm study china determines onefifth farmland polluted,IAB15 Science,0.34
two recalls push general motors total 48m month,IAB2 Automotive,0.46
robin thicke makes public appeal estranged wife song,IAB1 Arts & Entertainment,0.13
liberia state emergency suggested,"IAB11 Law, Gov’t & Politics",0.17
depression lowers life expectancy much smoking uk study,IAB15 Science,0.25
upcoming bachelorette contestant dies,IAB12 News,0.2
home entertainment news justin bieber detained lax,IAB12 News,0.57
oil strategy may hard execute,IAB24 Uncategorized,0.13
2014 motogp grand prix americas qualifying,IAB17 Sports,0.73
empire crumbs cupcake iced yet cupcake rolls,IAB8 Food & Drink,0.66
pfizer posts lower q1 results amid astrazeneca bid talk,IAB3 Business,0.23
stephen colbert late show first look,IAB12 News,0.27
mark ryan transformers age extinction new york premiere,IAB1 Arts & Entertainment,0.35
godzilla opens smashing 932 million domestic box office,IAB1 Arts & Entertainment,0.41
burned pizza dominos customer database breached,IAB8 Food & Drink,0.42
photo fossils largest dinosaur found argentina,IAB15 Science,0.23
jc penney stock surges loss narrows first quarter,IAB3 Business,0.42
supermoon shine full glory tonight,IAB20 Travel,0.11
smoking hookah may dangerous health previously thought,IAB12 News,0.17
samsung marvel entertainment announce global brand partnership,IAB1 Arts & Entertainment,0.25
mortgage rates hit 6month low 30year mortgage falls 421,IAB12 News,0.19
company update nyseibm ibm profit cycle bottomed says cantor,IAB3 Business,0.43
movie review captain america winter soldier,IAB1 Arts & Entertainment,0.22
i495 bridge closure long last,IAB20 Travel,0.2
creation museum display dinosaur proves biblical flood,IAB15 Science,0.42
people girls star williams fly peter pan,IAB1 Arts & Entertainment,0.24
orbital sciences soars musks shadow space race,IAB15 Science,0.61
reese witherspoon drops fbomb pronouncing cara delevingnes name,IAB2 Automotive,0.19
met mother final episode reviews roundup,IAB6 Family & Parenting,0.15
instagram 200 million users beating twitter,IAB24 Uncategorized,0.1
gov chris christie shows dance moves tonight show,IAB1 Arts & Entertainment,0.25
breaking amazon acquires digital comics retailer comixology,IAB3 Business,0.26
melissa harrisperry abramson confirmed firing personal gender biased,IAB12 News,0.15
miley cyrus reportedly calls jennifer lawrence liar,IAB12 News,0.3
19year old london ontario man charged cra heartbleed breach,IAB13 Personal Finance,0.12
area hospitals receive average scores consumer reports safety,IAB24 Uncategorized,0.17
frozen going conquer tv apparently,IAB1 Arts & Entertainment,0.18
ashleigh,IAB20 Travel,0.1
handson amazons fire phone ordinary remarkable,IAB24 Uncategorized,0.13
stocks watch twitter energizer holdings pepco holdings,IAB3 Business,0.24
new us mers case health officials alert,IAB12 News,0.83
kim kardashian might launching singing career wait,IAB4 Careers,0.37
net neutrality activists mobilizing day action,IAB14 Society,0.14
living materials respond environment communicate,IAB24 Uncategorized,0.1
kids choice awards 2014 best dressed,IAB18 Style & Fashion,0.37
soul legend womack,IAB23 Religion & Spirituality,0.27
googles new time capsule lets go back time street view,IAB20 Travel,0.25
update 1us official warns lawsuit bofa mortgage talks stall,IAB12 News,0.38
hk slams china media criticism democracy poll,IAB12 News,0.18
apple medical tech hiring spree possible hint iwatch plans,IAB19 Technology & Computing,0.49
netflix raise price new members existing members stay 799,IAB13 Personal Finance,0.12
miley cyrus honors late dog floyd new tattoo photo,IAB16 Pets,0.24
malaysian passenger plane crashes ukraine,IAB20 Travel,0.22
bazinga big bang theory renewed till 2017,IAB15 Science,0.38
old fashioned vs fifty shades grey next feb,IAB24 Uncategorized,0.2
rosenworcel delay vote net neutrality rules,"IAB11 Law, Gov’t & Politics",0.39
10 celebrity tattoos dont understand,IAB24 Uncategorized,0.26
clooney slams british newspaper motherinlaw claims,IAB12 News,0.33
miley cyrus sad kitty lip tattoo photo,IAB1 Arts & Entertainment,0.19
apples talk comcast hit deadlock,IAB19 Technology & Computing,0.19
rolling stone says put major historical inaccuracy julia louis,IAB24 Uncategorized,0.15
marijuana growlights cause problems hamradio operators,IAB9 Hobbies & Interests,0.4
things go bad less bad blackberry,IAB24 Uncategorized,0.15
eu joins us new sanctions russia ukraine,IAB12 News,0.27
live lg g3 unveiled stunning display revamped ui 13mp laser autofocus,IAB12 News,0.22
new app aims help combat jet lag,IAB20 Travel,0.5
thestreet ratings team says facebook fb stock hold,IAB19 Technology & Computing,0.15
german reliance russian gas threat,IAB12 News,0.13
season finale bachelor means juan pablo commercials,IAB1 Arts & Entertainment,0.15
uofl students staff participate relay life good friday,IAB5 Education,0.21
craig ferguson steps late late show,IAB12 News,0.22
senate confirms brainard powell fed seats fischer vice chair,"IAB11 Law, Gov’t & Politics",0.19
flight 370 mystery hoping new info,IAB12 News,0.21
tesco phone hudl smartphone coming 2014,IAB19 Technology & Computing,0.32
family dollar grow despite planned store closures,IAB3 Business,0.15
cruise ship virus norovirus also affects millions americans land,IAB20 Travel,0.58
probe done circus accident evidence provided wcbdtv news weather,IAB12 News,0.86
video burger king baby finds mother,IAB8 Food & Drink,0.39
larry kramer gay icon barbra streisand finds gay sex distasteful,IAB12 News,0.1
new gene atlas maps human dna activity,IAB15 Science,0.35
qa arnold schwarzenegger praises jerry brown,IAB1 Arts & Entertainment,0.12
twitter introduces photo tagging adding multiple photos tweet,IAB12 News,0.07
prince release two new albums september 30,IAB1 Arts & Entertainment,0.27
ford lowers mpg ratings six models,IAB2 Automotive,0.19
german bonds fall amid bets ecb refrain new stimulus,IAB3 Business,0.14
tennessee man claims 259 million powerball prize,IAB12 News,0.14
jason aldean im banging girl broke marriage,IAB6 Family & Parenting,0.19
solar industry gives helco sister companies high rankings,IAB12 News,0.18
michael jackson worth dead alive,IAB12 News,0.12
elsa pataky chris hemsworths wife reveals twins names shares photo,IAB6 Family & Parenting,0.26
mad man star jon hamm reveals working porn soulcrushing,IAB12 News,0.17
germanys top court clears euro bailout fund,"IAB11 Law, Gov’t & Politics",0.28
tammy susan sarandons glow dimmed grandma role,IAB6 Family & Parenting,0.15
mers virus come,IAB24 Uncategorized,0.12
aussies benefit japan deal pm,IAB3 Business,0.14
researchers call smokefree legislation,IAB15 Science,0.46
game ti standoff police club fight,IAB17 Sports,0.17
depp works itll weird us,IAB3 Business,0.1
tca award nominees true detective vs breaking bad,IAB12 News,0.11
sony playstation network back online weekend cyberattack,IAB19 Technology & Computing,0.22
epa reaches deal duke energy clean dan river coal ash,IAB12 News,0.22
despite national job growth consumers still wary,IAB24 Uncategorized,0.16
us economy growing modestly fed,IAB3 Business,0.18
nokia reports q1,IAB12 News,0.33
warner bros considering batman vs superman release date change,IAB1 Arts & Entertainment,0.24
tokyo stocks 113pc break,IAB3 Business,0.12
robert downey jr tweets first image avengers 2 age,IAB1 Arts & Entertainment,0.16
recipes cinco de mayo margaritas seven tequila cocktails,IAB8 Food & Drink,0.36
avicii dozens wasted fans hospitalized,IAB12 News,0.13
paul mccartney still ill cancels south korea concert,IAB1 Arts & Entertainment,0.24
abramsons firing nyt feels likes sexism,IAB12 News,0.34
watch one man sing rainbow connection almost every muppet,IAB1 Arts & Entertainment,0.19
american apparel misogynist jerk bad business,IAB3 Business,0.88
chris brown ordered back prison,"IAB11 Law, Gov’t & Politics",0.17
att likely announce 50 billion deal buy directv sunday,IAB3 Business,0.29
report motorolas first postgoogle smartphone looks like,IAB2 Automotive,0.7
news fox boss talks revamping idol glees final season new yearround,IAB12 News,0.64
royal dutch shell q1 profit falls quick facts,IAB3 Business,0.37
music streaming battle pitting tech giants apple google,IAB19 Technology & Computing,0.21
fix common android problems,IAB19 Technology & Computing,0.3
scandal actor columbus short charged felony,IAB12 News,0.31
cats got tongues grumpy cat rocks american idol top 6,IAB1 Arts & Entertainment,0.28
billboard teams twitter new realtime charts,IAB3 Business,0.35
deutsche banks advice longterm airline investors,IAB20 Travel,0.46
box office xmen days future past strong adam sandlers blended falls flat,IAB1 Arts & Entertainment,0.36
forgotten vials smallpox found us storage room unclear whether virus,IAB24 Uncategorized,0.43
slingshot facebooks new snapchatlike mobile app lets users send messages,IAB19 Technology & Computing,0.16
heartbleed highlights contradiction web,IAB24 Uncategorized,0.55
former good morning america host joan lunden says breast cancer,IAB12 News,0.6
guinea bans bateating curb ebola outbreak,IAB3 Business,0.24
remote control contraceptive works,IAB24 Uncategorized,0.11
sluggish economy prompts qe rethink germanys bundesbank,IAB12 News,0.16
3 charged turkey mine disaster report,IAB12 News,0.3
fast furious 7 trailer paul walkers last scenes revealed universal,IAB12 News,0.21
apple samsung patent war resume us courts,IAB19 Technology & Computing,0.21
ftc clears facebookwhatsapp deal caveat,IAB19 Technology & Computing,0.19
top hardware firms join forces iot standards,IAB19 Technology & Computing,0.22
google brings android car android auto,IAB2 Automotive,0.83
heartbleed affect ios os x web services apple,IAB19 Technology & Computing,0.37
medicare reimbursements delaware providers 2012,IAB12 News,0.13
harley davidson going green,IAB2 Automotive,0.36
taylor swift granted restraining order man,IAB12 News,0.12
ios 8 release date wwdc 2014 apple set busy year iphone 6,IAB19 Technology & Computing,0.41
mars rover 1,IAB20 Travel,0.22
alibaba profit rises update,IAB3 Business,0.5
hayden panettiere reportedly pregnant first child,IAB6 Family & Parenting,0.35
tax deadline looms midnight tuesday,"IAB11 Law, Gov’t & Politics",0.13
sherlock season 4 spoilers 2015 christmas special works hints,IAB1 Arts & Entertainment,0.18
microsoft mum charlottes fate 18000job slashing plan,IAB3 Business,0.21
movie review get,IAB24 Uncategorized,0.14
us stockswall st drops cyclicals smallcap shares weigh,IAB3 Business,0.17
cyberinfo sharing firms doesnt violate antitrust laws 1,IAB12 News,0.12
amazoncom sees unusually large options volume amzn,IAB22 Shopping,0.19
china mobiles q4 profit drops 16 percent 4g network costs,IAB12 News,0.1
vinyl countdown record store day near,IAB9 Hobbies & Interests,0.11
deliver us evil review grotesquely satisfying,IAB12 News,0.18
rollsroyce order book hurt airbus order cancellation,IAB3 Business,0.17
mortgage rates hit sevenmonth low,IAB12 News,0.15
robert pattinson kristen stewarts cheating sht happens,IAB12 News,0.22
boca tribune als ice bucket challenge,IAB17 Sports,0.3
fed blocks five banks raising dividends,IAB3 Business,0.29
facebooks 128 billion users get privacy review,IAB24 Uncategorized,0.15
trailer park 74 edition tammy earth echo reach top box,IAB20 Travel,0.24
world literature mourns death gabriel garcia marquez,IAB24 Uncategorized,0.12
tracy morgan car crash update louis ck judd apatow dax shepard urging,IAB12 News,0.44
first take alibaba comes yahoos rescue,IAB23 Religion & Spirituality,0.2
uk stocks rise chinese manufacturing report aberdeen jumps,IAB3 Business,0.24
china warns us cyber charges could damage ties,IAB12 News,0.12
lawmakers worry medicare fraud crackdown gone astray,"IAB11 Law, Gov’t & Politics",0.35
saudi arabia sacks minister criticised handling mers,"IAB11 Law, Gov’t & Politics",0.15
ann b davisshaped hole hearts,IAB12 News,0.19
soil pollution another alarm chinas development,IAB12 News,0.38
new internet explorer cve20141776 zero day used targeted attacks,IAB19 Technology & Computing,0.26
illicit drugs kill 200000 year cannabis use us rising un,IAB24 Uncategorized,0.21
exmicrosoft employee charged leaking windows 8 info,IAB19 Technology & Computing,0.39
us midday gold flat,IAB12 News,0.15
first day spring international day happiness celebrations take place,IAB14 Society,0.13
human barbie talks plastic surgery family future,IAB6 Family & Parenting,0.11
lindsay lohan sues grand theft auto v makers find,IAB2 Automotive,0.58
separation husband difficult hilary duff,IAB24 Uncategorized,0.1
brad paisley takes selfie westboro baptist church protestors,IAB23 Religion & Spirituality,0.26
uber partners att preload apps smartphones connect drivers,IAB3 Business,0.14
htc posts profit pessimism high h2 2014,IAB3 Business,0.41
brussels cautious spains mild recovery,IAB3 Business,0.13
review woman zip little else,IAB24 Uncategorized,0.45
amazon goes hachette authors floats sweet ebook royalty deal,IAB3 Business,0.29
bank america pay 95 billion usd settle mortgage allegation,IAB3 Business,0.34
healthcare embraced hitandrun strategy,IAB24 Uncategorized,0.18
love selena gomez reveals new inking justin bieber break,IAB12 News,0.24
spains bull festival kicks,IAB17 Sports,0.56
godzilla director gareth edwards helm star wars spinoff movie,IAB1 Arts & Entertainment,0.31
miley cyrus postpones us tour due illness,IAB20 Travel,0.63
first trailer brett ratners hercules starring dwayne johnson,IAB1 Arts & Entertainment,0.19
five apply detroit bankruptcy witness position,IAB13 Personal Finance,0.11
exoskeleton kicks world cup,IAB17 Sports,0.62
market pulse bull market alive well,IAB3 Business,0.21
apple samsung trade barbs new patent trial opens,IAB19 Technology & Computing,0.22
friday boxoffice amazing spiderman 2 drops big second weekend,IAB1 Arts & Entertainment,0.35
camera turns critic life looks roger ebert battles,IAB24 Uncategorized,0.13
galaxy s5 launches april 11th buy one right,IAB22 Shopping,0.14
transformers star nicola peltz goes sheer berlin,IAB17 Sports,0.4
robert pattinson caught looking dopey still sexy premiere latest film,IAB1 Arts & Entertainment,0.25
poor sense smell may indicate risk alzheimers disease study,IAB15 Science,0.17
philippines seizes chinese fishing vessel,IAB12 News,0.19
us research reveals iconic orca whales,IAB15 Science,0.29
us retail sales rose 03 may commerce dept,IAB3 Business,0.49
fox air musical grease live 2015,IAB12 News,0.34
generation tanning sees spike deadly melanoma,IAB12 News,0.18
panda may faked pregnancy food,IAB16 Pets,0.3
wall street continues decline ahead earnings season,IAB3 Business,0.42
watch geithner goes script jon stewart,IAB3 Business,0.19
nigerian gdp jumps 89 economists add telecoms nollywood,IAB3 Business,0.16
community calendar,IAB6 Family & Parenting,0.07
brittany murphys last film something wicked released,IAB1 Arts & Entertainment,0.2
blackrocks quarterly profit jumps investors pile funds,IAB3 Business,0.59
tesla install extra highstrength shields attempt prevent model fires,IAB20 Travel,0.12
beyonce named worlds powerful celebrity jay z dr dre,IAB1 Arts & Entertainment,0.16
health watch preeclampsia daily low dose aspirin,IAB12 News,0.13
cory monteiths mom says shes starting accept death still talks,IAB6 Family & Parenting,0.21
european factors watchshares seen edging higher onemonth low,IAB24 Uncategorized,0.11
nationals shoot highlights drone debate,IAB17 Sports,0.37
nasas space x launch go per schedule,IAB20 Travel,0.55
cyborg confirmed cast batman vs superman,IAB12 News,0.19
apple targets connected homes health ios 8,IAB6 Family & Parenting,0.23
listen futures new song featuring kanye west,IAB12 News,0.25
us home price gains slowing says new caseshiller index,IAB21 Real Estate,0.48
rentrak reis sees hammer chart pattern time buy,IAB21 Real Estate,0.16
asia pacific market stocks fall global economy concerns,IAB12 News,0.29
selena gomez reunites spring breakers cast,IAB1 Arts & Entertainment,0.24
oecd urges rate hike canadas outlook brightens,IAB3 Business,0.15
shut gop member message anonymous obama officials,"IAB11 Law, Gov’t & Politics",0.2
banks take hefty 13 bln euros 3month tender ecb,IAB3 Business,0.26
jennifer garners husband ben affleck controlling choice circle,IAB6 Family & Parenting,0.13
mickey rooneys wife seen almost year died,IAB6 Family & Parenting,0.21
hertz spinning equipment rental business,IAB3 Business,0.79
apple purchase beats electronics 32 billion,IAB19 Technology & Computing,0.16
복사 url 줄이기 레이어 닫기,IAB20 Travel,0.07
awesome new app displays iphone notifications mac,IAB19 Technology & Computing,0.17
harrison ford miss 8 weeks filming following injury star wars set,IAB1 Arts & Entertainment,0.31
supreme court might pull plug aereo,IAB24 Uncategorized,0.17
another blunder another apology justin bieber,IAB3 Business,0.21
apple loses siri case china,IAB19 Technology & Computing,0.17
general motors dealers stop cruze sales faulty takata airbags,IAB2 Automotive,0.47
alcoa inc nyseaa secondquarter results beats forecasts,IAB3 Business,0.36
tsa review recommends armed law enforcement airport security checkpoints,IAB20 Travel,0.28
new music michael jacksons xscape,IAB1 Arts & Entertainment,0.27
video uber vs black cabs london protests cabbies want,IAB20 Travel,0.23
demarco depart fhfa end april,IAB20 Travel,0.23
weibo ipo expectations raises 2856 million,IAB12 News,0.11
apple may release two new macbook air models tomorrow,IAB19 Technology & Computing,0.43
nbc boss isnt worried letterman successor says jimmy fallon still,IAB12 News,0.45
see colorful view universe captured space telescope,IAB15 Science,0.23
disabled models staple us store catalog,IAB22 Shopping,0.26
ariana grande victim naked pics prank,IAB24 Uncategorized,0.11
burger king get burned canada move,IAB8 Food & Drink,0.42
bang bang video feat jessie j ariana grande nicki minaj watch,IAB1 Arts & Entertainment,0.2
al womans death sparks gm lawsuit faulty ignition switches,"IAB11 Law, Gov’t & Politics",0.17
guardians galaxy,IAB20 Travel,0.11
tori spelling divorce dean cheating scandal mcdermott,IAB12 News,0.17
xbox ones titanfall performance great,IAB1 Arts & Entertainment,0.19
pakistan faces global travel curbs polio alert,IAB20 Travel,0.52
libya halts north koreanflagged tanker loaded rebel oil,IAB12 News,0.14
many prefer electric shocks solitary thoughts study,IAB24 Uncategorized,0.37
know doorstep wifienabled smartmat,IAB19 Technology & Computing,0.16
florida warns beachgoers dangers flesheating bacteria,IAB12 News,0.26
jay z beyonce shows kimye wedding,IAB1 Arts & Entertainment,0.48
putting brakes icd10,IAB2 Automotive,0.14
going chapel,IAB23 Religion & Spirituality,0.76
3d systems corporation nyseddd reported first quarter results fiscal,IAB3 Business,0.4
captain america zippy hollow,IAB17 Sports,0.14
mad men season 7 spoilers title synopsis leaked episode 2,IAB12 News,0.2
nasas antlike swarmies scour hostile planets water rocket fuel,IAB20 Travel,0.28
mta releases advertisements featuring lirr contract offer,IAB3 Business,0.18
neighbors review seth rogen zac efron wage laughfilled war 0,IAB12 News,0.17
kris jenner spotted wearing wedding ring,IAB12 News,0.27
things say,IAB12 News,0.07
forex dollar slips lower yen thin trade,IAB12 News,0.15
quebec movie among winners cannes film festival,IAB1 Arts & Entertainment,0.21
falling euro faces many challenges ahead,IAB13 Personal Finance,0.13
miley cyrus cancels bangerz tour shows hospitalization,IAB20 Travel,0.32
ny ag sues barclays dark pool,IAB3 Business,0.27
irs decision treat virtual currencies property mixed blessing,IAB24 Uncategorized,0.21
chinas polluted farmlands major concern,IAB12 News,0.42
emma stone andrew garfield use paparazzi support charities,IAB24 Uncategorized,0.11
fda prepares longawaited plan reduce salt,IAB12 News,0.21
imf downgrading us growth outlook cautions investors interest rates,IAB12 News,0.17
price gas slightly maine,IAB3 Business,0.14
shot ray benzino reality star raymond scott shot nephew gai scott,IAB6 Family & Parenting,0.14
iggy azalea set perform jayzs made america festival joining,IAB1 Arts & Entertainment,0.41
samsung partnering marvel conde nast national geographic,IAB19 Technology & Computing,0.36
88 blues guitarist bb king living legend rock roll hall famer,IAB1 Arts & Entertainment,0.2
man travels 100000 miles 4 years ultimate proposal,IAB20 Travel,0.62
breakfast briefing 4112014,IAB12 News,0.21
film review transformers age extinction one dullest,IAB24 Uncategorized,0.23
