text,labels,confidence
where can i rent a car in boston,IAB2 Automotive,0.85
i don't know how to change my oil or what type i need,IAB2 Automotive,0.94
give me the specifics on my federal taxes,IAB13 Personal Finance,0.89
what food from italy do you suggest,IAB8 Food & Drink,0.82
what would the interest rate at wells fargo be,IAB9 Hobbies & Interests,0.89
will i need a visa to travel to cancun,IAB20 Travel,0.91
what's the point balance on my marriot rewards card,IAB2 Automotive,0.95
when do cars need their oil changed,IAB2 Automotive,0.95
what number of vacation days remain for me,IAB16 Pets,0.93
what is the number of points i earned with my mastercard,IAB2 Automotive,0.91
"i would like to confirm my 7:30 pm reservation at morton's steakhouse, under michael james",IAB21 Real Estate,0.99
can you you confirm my reservation for jean at taco house,IAB21 Real Estate,0.84
find repair shop that will diagnosis dead car battery,IAB2 Automotive,0.86
how many points do i have in total on my marriot rewards card,IAB2 Automotive,0.91
i need to know how much gas is left,IAB2 Automotive,0.89
tell me the month that my credit card will expire,IAB2 Automotive,0.93
please tell me how to ask for a taxi in french,IAB13 Personal Finance,0.88
how many minutes do i cook baked ziti,IAB8 Food & Drink,0.99
where can i see my credit score,IAB13 Personal Finance,0.91
help me get an american express card,IAB2 Automotive,0.91
i really need to order some more checks for my savings account,IAB22 Shopping,0.81
my damage card is not working,IAB2 Automotive,0.87
is ice cream currently on my shopping list,IAB22 Shopping,0.83
i would like to know my current location,IAB16 Pets,0.83
i need to know if there are transaction fees for my visa card in canada,IAB2 Automotive,0.91
how long is the validity of my credit card,IAB2 Automotive,0.88
get me an uber to the airport,IAB20 Travel,0.85
what is the limit on my credit,IAB13 Personal Finance,0.92
check if my shopping list has tomato,IAB22 Shopping,0.9
let me know how much gas i have,IAB2 Automotive,0.97
find me a rental car from 3/6 - 3/9 in port charles,IAB2 Automotive,1.0
provide me the number of vacation days i have,IAB16 Pets,0.83
"i need to report my card as stolen, please",IAB2 Automotive,1.0
does italy have any travel alerts i should be aware of,IAB20 Travel,0.88
how safe is it to travel to mongolia (how safe is mongolia),IAB20 Travel,0.95
what kind of gas does this car need,IAB2 Automotive,0.89
tell me my shopping list,IAB22 Shopping,0.81
what gas mileage does my car get,IAB2 Automotive,1.0
need the tv on please,IAB1 Arts & Entertainment,0.81
check my car's tire pressure,IAB2 Automotive,0.82
i'm on a new job but i need help with my 401k rollover,IAB4 Careers,0.87
direct me to the closest starbucks near home,IAB10 Home & Garden,0.94
can you tell me my credit limit,IAB13 Personal Finance,0.83
i need to catch an uber to cal expo,IAB16 Pets,0.94
bloomingdale's declined my card and i'd like to know why,IAB2 Automotive,0.83
report discover card as lost,IAB2 Automotive,0.98
please tell me what's provided in my health benefits,IAB7 Health & Fitness,0.87
could you schedule car maintenance for me,IAB2 Automotive,0.98
i believe there's fraud on my card,IAB2 Automotive,0.94
so when is my flight landing,IAB20 Travel,0.82
is it possible to increase the credit limit for my discover card,IAB2 Automotive,0.83
do when you when my replacement card will get mailed,IAB2 Automotive,0.8
show me all gas purchases within the last month,IAB2 Automotive,0.9
how many vacation days do i have to spend,IAB16 Pets,0.9
please make sure oranges are on my shopping list,IAB22 Shopping,0.83
i'm looking for a roundtrip flight from fwa to hsv for march first to march fifth,IAB20 Travel,0.82
tell me what my credit rating is,IAB13 Personal Finance,0.81
when should i expect my flight to come in,IAB20 Travel,0.9
"how far is the grand canyon from my current location in phoenix, az",IAB16 Pets,0.89
please check my credit limit on my visa,IAB13 Personal Finance,0.93
help me determine my interest rate,IAB9 Hobbies & Interests,0.94
can i book a hotel in new york city near times square from 3/1 until 3/5,IAB20 Travel,0.97
is there a way to get a larger limit on my bank of america card,IAB2 Automotive,0.96
i need to know the items on my shopping list,IAB22 Shopping,0.99
look up when my flight is set to start boarding,IAB20 Travel,0.96
when should my oil be changed,IAB2 Automotive,0.93
what is the credit card apr please,IAB2 Automotive,0.91
what is the credit card's apr,IAB2 Automotive,0.91
report lost card to discover company,IAB2 Automotive,0.84
check to see if picking up glenn from the airport is on my list of reminders,IAB20 Travel,0.96
would you add bananas to my shopping list as i am out,IAB22 Shopping,0.95
how long should i cook the eggs for,IAB8 Food & Drink,0.93
where is the w-2 form located,IAB16 Pets,0.84
i got to schedule some car maintenance,IAB2 Automotive,0.87
when is my next oil change suggested,IAB2 Automotive,0.89
please tell me the last time i took my car to the shop,IAB2 Automotive,0.86
what type of gas am i allowed to put in this car,IAB2 Automotive,0.89
how long should i cook a spiral ham,IAB8 Food & Drink,0.92
tell me the nutrition for grapes,IAB8 Food & Drink,0.89
are there any interesting activities to do in austin,IAB9 Hobbies & Interests,0.88
"order new checks, please",IAB22 Shopping,0.98
what is the highway mpg on this car,IAB2 Automotive,0.88
what health benefits do i have,IAB7 Health & Fitness,0.98
do i need to read any travel alerts for kenya,IAB20 Travel,0.9
what's the cheapest fares from lax to sfo for round trip flights leaving april 1st and returning april 7th,IAB20 Travel,0.89
what is the definition of my health benefits,IAB7 Health & Fitness,0.8
does macedonia have any travel alerts i should be aware of,IAB20 Travel,0.96
on my chase bank account what is the interest rate,IAB9 Hobbies & Interests,0.9
what is my vacation schedule look like,IAB16 Pets,0.92
tell me the limit on my discover card,IAB2 Automotive,1.0
can you calculate my tax,IAB13 Personal Finance,0.89
how soon should i have my oil changed,IAB2 Automotive,0.92
tell me what my tire pressure is,IAB2 Automotive,1.0
why did macy's decline my card,IAB2 Automotive,0.96
can i hurt my credit score,IAB13 Personal Finance,0.89
does laos require a travel visa,IAB20 Travel,0.98
i want to hear more about how i can use my credit card points,IAB2 Automotive,0.95
give me a recommendation to improve my credit score,IAB13 Personal Finance,0.98
does macaroni grill have a wait how long,IAB2 Automotive,0.83
when did i last do maintenance on my car,IAB2 Automotive,0.84
what kind of greek food is good for dinner,IAB8 Food & Drink,0.81
has my delivery order showed up,IAB22 Shopping,0.87
how much do americans pay for federal taxes on average,IAB13 Personal Finance,0.98
did i spend a lot on shoes recently,IAB18 Style & Fashion,0.93
tell the restaurant i cannot make it,IAB8 Food & Drink,0.86
please look into the latest status of my credit card application,IAB2 Automotive,0.91
where on the cheerios box are the nutrition facts,IAB8 Food & Drink,0.99
my credit card was stolen; how long before a new one will arrive,IAB2 Automotive,0.96
my current location,IAB16 Pets,0.86
can you tell me what the form is employers are supposed to send you for taxes and where i get it,IAB13 Personal Finance,0.94
how much will i have to pay in colorado taxes,IAB13 Personal Finance,0.82
does medical debt hurt my credit score,IAB13 Personal Finance,0.84
should i buy a specific plug type when in china,IAB22 Shopping,0.88
i must apply for a new credit card,IAB2 Automotive,0.99
can i improve my credit score,IAB13 Personal Finance,0.81
did i put bread on my shopping list,IAB22 Shopping,0.93
i want to know how long it is from here to the sky harbor airport,IAB20 Travel,0.87
assist me in getting a car rental,IAB2 Automotive,0.84
what's the balance of my reward points on my discover card,IAB2 Automotive,0.98
can you check where my luggage is off jetblue flight ab123 out of buffalo,IAB20 Travel,0.89
what was the problem with my card yesterday,IAB2 Automotive,0.88
how many rewards points do i have for my wells fargo card,IAB2 Automotive,0.94
book an uber for 6 people to go to the movies,IAB1 Arts & Entertainment,0.98
how is the tread on my tires,IAB2 Automotive,0.88
how much are the international transaction fees for my chase card,IAB2 Automotive,0.89
i need to know how to apply for a visa card,IAB2 Automotive,0.94
what does the carry-on policy say for flights on united airlines,IAB20 Travel,0.89
fill me in on the apr for my american express card,IAB2 Automotive,0.91
my card declined yesterday and i want to know why,IAB2 Automotive,0.99
how do i keep my credit score from dropping,IAB13 Personal Finance,0.85
what are the pets that you raise,IAB16 Pets,0.85
buy all the things on the shopping list,IAB22 Shopping,0.89
how much is the interest rate for the account i have at bluebird,IAB9 Hobbies & Interests,0.82
can you see if you can track where my luggage is,IAB20 Travel,0.84
i just used up my toothpaste and need you to order more,IAB22 Shopping,0.96
"my card needs replaced, i accidentally scraped it",IAB2 Automotive,0.99
how to find lost luggage,IAB20 Travel,0.93
is my delta flight on time,IAB20 Travel,0.85
tell me something funny about parenting,IAB6 Family & Parenting,0.89
what's the distance between home and the closest starbucks,IAB10 Home & Garden,0.81
let me check my transaction for first bank card,IAB2 Automotive,0.86
did the application i put in for a mastercard go through yet,IAB2 Automotive,1.0
i need you to make a reminder for me to give the cat her flea medicine,IAB16 Pets,0.81
tell me when my car last had its oil changed,IAB2 Automotive,0.95
how much have i spent on food recently,IAB8 Food & Drink,0.97
what type of pet do you have,IAB16 Pets,0.97
id like a rental car in denver colorado between january 1st and january 3rd and id like a ford if possible,IAB2 Automotive,0.83
can you tell me where to get a w2,IAB13 Personal Finance,0.89
locate my w-2 form,IAB16 Pets,0.88
pull up my shopping list for me,IAB22 Shopping,1.0
where can i check my credit rating,IAB13 Personal Finance,0.95
would you be able to tell me how to make a vacation request,IAB16 Pets,0.87
review of my card apr,IAB2 Automotive,0.81
what's the prep time for a garden salad,IAB10 Home & Garden,0.89
are my state tax payments too high,IAB13 Personal Finance,0.85
i want to know the expiry month of my card,IAB2 Automotive,0.85
when is my next oil change,IAB2 Automotive,0.84
when will my credit card app be approved,IAB2 Automotive,0.97
this credit card's apr is what,IAB2 Automotive,0.81
can i complete an application for a new credit card,IAB2 Automotive,0.83
i would love to redeem some smart speakers with my credit card points,IAB2 Automotive,0.88
i want to schedule a tire check up somewhere,IAB2 Automotive,0.96
what food items do you put in english breakfast,IAB8 Food & Drink,0.9
how much vacation time have i accrued,IAB16 Pets,0.98
my card is damaged and no longer function,IAB2 Automotive,0.82
when shall i get my tires changed,IAB2 Automotive,0.94
what will my state taxes cost,IAB13 Personal Finance,0.95
i'm vacationing in israel will i need a visa,IAB16 Pets,0.84
how can i cash in rewards on my chase card,IAB2 Automotive,0.92
when did i have my car looked at,IAB2 Automotive,0.95
i would like to use my credit card points,IAB2 Automotive,0.99
can you look into whether my card has good apr or not,IAB2 Automotive,0.9
how long does it take until i reach the sky harbor airport,IAB20 Travel,0.83
how much luggage can i carry with me on flight dl2200 to denver,IAB20 Travel,0.89
what's a big bowl of ice cream contain in calories,IAB8 Food & Drink,0.87
"who can look at my car, the engine light is on",IAB2 Automotive,0.95
how long to replace a credit card,IAB2 Automotive,0.91
i need a flight booked from dallas to miami on american airlines,IAB20 Travel,0.95
whats the pressure like in my tires,IAB2 Automotive,0.86
order more checks for my first bank checking account,IAB22 Shopping,0.82
let me know my ally interest rate,IAB9 Hobbies & Interests,0.99
"make a reminder, pay taxes on monday",IAB13 Personal Finance,0.95
before i pay my walmart credit card did i make any purchases using it recently,IAB2 Automotive,0.92
can my car get to reno with the gas currently in my tank,IAB2 Automotive,0.87
how do i order checks once i run out,IAB22 Shopping,0.88
the bank needs to know that i am traveling soon,IAB20 Travel,0.94
i managed to get a new job but i need help with my 401k rollover,IAB4 Careers,0.92
tell me a few facts about cats,IAB16 Pets,0.82
what was the total i spent at home depot last month,IAB10 Home & Garden,0.83
where can i find out why my card was recently declined at amazoncom,IAB2 Automotive,0.85
get rid of my 2 pm reservation at ruth's steakhouse,IAB21 Real Estate,0.95
send my gps location to manuel,IAB16 Pets,0.88
what's the annual rate on my discover card,IAB2 Automotive,0.9
what points were earned on my mastercard,IAB2 Automotive,0.96
what is the protocol for requesting a vacation,IAB16 Pets,0.87
do you know how busy outback steakhouse tends to be at 7:00 pm,IAB21 Real Estate,0.99
i'd like to schedule a tire inspection,IAB2 Automotive,0.95
i need to report a new card please the atm hurt mine,IAB2 Automotive,0.92
can you find me a recipe for quiche,IAB8 Food & Drink,0.93
how many miles does my car get per gallon,IAB2 Automotive,0.96
are there any transaction fee if i use my boston private card in scotland,IAB2 Automotive,0.81
how long should i cook chicken thighs,IAB8 Food & Drink,0.96
my card did not work yesterday,IAB2 Automotive,0.93
can you tell me the mpg of this car,IAB2 Automotive,0.81
how long until i my card expires,IAB2 Automotive,0.91
i am needing to get a flight out of el paso to dallas on march 10 for under $300,IAB20 Travel,0.91
what must i do to report my card lost,IAB2 Automotive,0.82
what do i need to get to put into homemade tortillas,IAB10 Home & Garden,0.92
what is the surcharge for using my card in italy while i visit,IAB2 Automotive,0.97
i need an uber for 7 people to go to safire restaurant,IAB8 Food & Drink,0.84
would you buy me a phone,IAB22 Shopping,0.9
can i up my credit limit to $1000,IAB13 Personal Finance,0.87
share the nutrition info for french fries with me,IAB8 Food & Drink,0.85
how to apply for platinum card,IAB2 Automotive,0.91
please get my car started before i go out to it,IAB2 Automotive,0.98
are there ways for me to make my credit score better,IAB13 Personal Finance,0.88
how much will my state taxes be,IAB13 Personal Finance,0.93
how long until i get a replacement card,IAB2 Automotive,0.95
to what animal species do your pets belong,IAB16 Pets,0.88
i want my credit limit changed,IAB13 Personal Finance,0.96
i recently got a new job and need assistance with my 401k rollover,IAB4 Careers,0.96
what's the nutritional info for chicken breast,IAB8 Food & Drink,0.98
will you summarize my health benefits,IAB7 Health & Fitness,0.97
i really need to find the interest rate for my checking account,IAB9 Hobbies & Interests,0.84
when can i expect my new card to get here,IAB2 Automotive,0.8
have i gotten confirmation for my credit card app,IAB2 Automotive,0.91
how long til my new card arrives by mail,IAB2 Automotive,0.81
i need to locate my phone,IAB16 Pets,0.87
are my tires properly inflated with air,IAB2 Automotive,0.85
what about my vacation request,IAB16 Pets,0.91
what's the apr of my discover card,IAB2 Automotive,0.88
i want to report a broken card,IAB2 Automotive,0.92
do i have milk on my shopping list please add it if it is not,IAB22 Shopping,0.81
tell me the date of my last car check up,IAB2 Automotive,0.91
i gotta know my credit score,IAB13 Personal Finance,0.85
how is that credit limit,IAB13 Personal Finance,0.9
pay the cable bill with my visa card,IAB2 Automotive,0.86
what pets do you currently own,IAB16 Pets,0.81
have i spent a lot on food recently,IAB8 Food & Drink,0.85
how much am i making at my job,IAB4 Careers,0.9
hows the air in my tires,IAB2 Automotive,0.81
how do i keep my credit from lowering,IAB13 Personal Finance,0.97
how many more vacation days can i use this year,IAB16 Pets,0.93
how would you describe my health benefits,IAB7 Health & Fitness,0.9
are my tires in need of air,IAB2 Automotive,0.91
"i need to report my card as stolen, who do i tell",IAB2 Automotive,0.85
i need you to add creamer to my shopping list,IAB22 Shopping,0.83
can you tell me how many calories are in an apple,IAB8 Food & Drink,0.95
what are some hot travel destinations,IAB20 Travel,0.92
can you tell me what is included in my health benefits,IAB7 Health & Fitness,0.82
confirm a flight for me from ft lauderdale to houston on southwest,IAB20 Travel,0.84
"i want to rent the cheapest car for charlottesville, virginia for march 7th through 10th, that's monday, tuesday, wednesday and thursday",IAB2 Automotive,0.88
when are my tires due to be changed,IAB2 Automotive,0.91
do you know the status of the credit card application i filed,IAB2 Automotive,1.0
what is the reason for whole foods declining my card,IAB2 Automotive,1.0
i've saved what number of days of vacation,IAB16 Pets,0.95
what kind of vacation days have i used so far,IAB16 Pets,0.86
how long should i expect to wait for my new card in the mail,IAB2 Automotive,0.86
"can you order me more checks, please",IAB22 Shopping,0.82
cancel my reservation for 3 at carlos jr,IAB2 Automotive,0.92
how does this car do with mpg in the city,IAB2 Automotive,0.82
is it time for new tires,IAB2 Automotive,0.87
how much is my mpg,IAB17 Sports,0.83
has the application for my american express been processed yet,IAB16 Pets,0.86
does outback steakhouse have good reviews,IAB21 Real Estate,0.99
get rid of my 4 pm reservation at the steakhouse please,IAB21 Real Estate,0.91
i need to know how healthy meatloaf is,IAB7 Health & Fitness,0.82
i can't seem to find my gold card and want it reported as lost,IAB2 Automotive,0.86
has the discover card approved my app,IAB2 Automotive,0.93
is this a computer right now or a human being,IAB19 Technology & Computing,0.88
what is the most recent info for my request for vacation,IAB16 Pets,0.88
which days did i take vacation,IAB16 Pets,0.98
when can i receive rewards on my visa card,IAB2 Automotive,0.91
so what pets do you have,IAB16 Pets,0.86
tell me when my flight is landing,IAB20 Travel,0.81
how would i be able to check my kohls rewards card,IAB2 Automotive,0.84
what chunk of my income have i spent on rent this year,IAB13 Personal Finance,0.8
when will my order be here,IAB22 Shopping,0.84
what was the issue with my card yesterday,IAB2 Automotive,0.92
which gas type does this car take,IAB2 Automotive,0.99
i want to order some more checks for my savings account,IAB22 Shopping,0.82
what's my car's gas mileage,IAB2 Automotive,0.89
please tell me why my card was declined,IAB2 Automotive,0.94
how many days was i sick or on vacation,IAB16 Pets,0.93
what is the minimum payment on my eddie bauer card,IAB2 Automotive,0.9
i need to know how long to do a pot roast in a slow cooker,IAB8 Food & Drink,0.97
use my capital one account to pay for my gas bill,IAB2 Automotive,0.88
what's the damage on my federal tax return,IAB13 Personal Finance,0.97
i wanna apply for a bank of america travel rewards credit card,IAB20 Travel,0.85
at what point should the flight land,IAB20 Travel,0.83
what is my interest rate payment,IAB9 Hobbies & Interests,0.86
how long will it be until my visa card expires,IAB2 Automotive,0.81
when was my most recent oil change,IAB2 Automotive,0.82
what alerts are listed for traveling to paris,IAB20 Travel,0.82
