text,iab_label,confidence,source
fccs net neutrality rules bad,"IAB11 Law, Gov’t & Politics",0.45,natural
geithner bailouts obama public anger bonuses,"IAB11 Law, Gov’t & Politics",0.45,natural
heinrich cosponsors net neutrality legislation,"IAB11 Law, Gov’t & Politics",0.45,natural
epa join nc enforcing coal ash cleanup,"IAB11 Law, Gov’t & Politics",0.44,natural
revised phone kill switch bill approved senate turn california,"IAB11 Law, Gov’t & Politics",0.44,natural
top court mostly upholds obama bid curb carbon emissions,"IAB11 Law, Gov’t & Politics",0.44,natural
ecigarette industry regulated democrats say lawmakers call,"IAB11 Law, Gov’t & Politics",0.44,natural
gops health law alternative could messy obamacare,"IAB11 Law, Gov’t & Politics",0.44,natural
legislation pushes involuntary mental health treatment,"IAB11 Law, Gov’t & Politics",0.44,natural
fcc nears vote net neutrality rules,"IAB11 Law, Gov’t & Politics",0.44,natural
fed governor wants ease rules smaller banks,"IAB11 Law, Gov’t & Politics",0.44,natural
fda aims regulate ecigarettes,"IAB11 Law, Gov’t & Politics",0.44,natural
john podesta issues warning gop climate regulations,"IAB11 Law, Gov’t & Politics",0.43,natural
christie signs gambling selfexclusion bill,"IAB11 Law, Gov’t & Politics",0.43,natural
fda making another attempt regulating ecigarettes,"IAB11 Law, Gov’t & Politics",0.43,natural
granting new bank licences political process rajan,"IAB11 Law, Gov’t & Politics",0.43,natural
medicare advantage cuts pose political threat,"IAB11 Law, Gov’t & Politics",0.43,natural
gay conversion therapy ban advances illinois house,"IAB11 Law, Gov’t & Politics",0.43,natural
fda proposes program speed approval medical devices,"IAB11 Law, Gov’t & Politics",0.43,natural
fda proposes rule expand tobacco control authority,"IAB11 Law, Gov’t & Politics",0.43,natural
high court upholds epas right regulate greenhouse gas emissions,"IAB11 Law, Gov’t & Politics",0.43,natural
fccs new net neutrality proposal sparks outrage among consumer advocates,"IAB11 Law, Gov’t & Politics",0.43,natural
jack lew pushes congress crack tax inversions,"IAB11 Law, Gov’t & Politics",0.43,natural
john boehner obama making joke health law latest delay,"IAB11 Law, Gov’t & Politics",0.43,natural
obama administration delays affordable care act provision,"IAB11 Law, Gov’t & Politics",0.43,natural
medicaid expansion stalled dead missouri legislature,"IAB11 Law, Gov’t & Politics",0.43,natural
fcc gut net neutrality,"IAB11 Law, Gov’t & Politics",0.43,natural
competing medical marijuana proposals florida house senate,"IAB11 Law, Gov’t & Politics",0.42,natural
political debate swirls around epa carbonreduction rule,"IAB11 Law, Gov’t & Politics",0.42,natural
congressional report pushes ecigarette regulations,"IAB11 Law, Gov’t & Politics",0.42,natural
rep kevin brady sebelius lost credibility obamacare,"IAB11 Law, Gov’t & Politics",0.42,natural
dictator obamacare delays tell story toopowerful executive,"IAB11 Law, Gov’t & Politics",0.42,natural
lawmakers propose equipping officers heroin antidote,"IAB11 Law, Gov’t & Politics",0.42,natural
obama administration introduces new drug control policy 2014,"IAB11 Law, Gov’t & Politics",0.42,natural
fda set start regulating sale ecigarettes,"IAB11 Law, Gov’t & Politics",0.42,natural
hickenlooper signs bills protect kids marijuana,"IAB11 Law, Gov’t & Politics",0.42,natural
fda plan would speed medical device approvals,"IAB11 Law, Gov’t & Politics",0.42,natural
omb director sylvia burwell nominated lead hhs oversee obamacare,"IAB11 Law, Gov’t & Politics",0.42,natural
kathleen sebelius points finger texas obamacare,"IAB11 Law, Gov’t & Politics",0.42,natural
fccs contentious new net neutrality rules need know,"IAB11 Law, Gov’t & Politics",0.42,natural
fccs proposed rules hurt net neutrality,"IAB11 Law, Gov’t & Politics",0.42,natural
obama administration backs cuts medicare advantage,"IAB11 Law, Gov’t & Politics",0.42,natural
rolf harris jail sentence reviewed attorney general,"IAB11 Law, Gov’t & Politics",0.41,natural
regulators vote final bank leverage rules,"IAB11 Law, Gov’t & Politics",0.41,natural
obama signs executive order equal pay women,"IAB11 Law, Gov’t & Politics",0.41,natural
ny top court oks fracking ban,"IAB11 Law, Gov’t & Politics",0.41,natural
bill ban internet fast lanes proposed congress,"IAB11 Law, Gov’t & Politics",0.41,natural
medical marijuana rules finalized illinois lawmakers chicago,"IAB11 Law, Gov’t & Politics",0.41,natural
christie scandal hasnt altered political plans,"IAB11 Law, Gov’t & Politics",0.41,natural
fccs net neutrality walkback fans anger,"IAB11 Law, Gov’t & Politics",0.41,natural
senate blasts mobile carriers profiting phony fees,"IAB11 Law, Gov’t & Politics",0.41,natural
white house defends extension obamacare deadline,"IAB11 Law, Gov’t & Politics",0.41,natural
supreme court affirms epa ability regulate greenhouse gases,"IAB11 Law, Gov’t & Politics",0.41,natural
epa moves toward possible methane emission rules,"IAB11 Law, Gov’t & Politics",0.41,natural
house committee passes bill reduce postal service doortodoor delivery,"IAB11 Law, Gov’t & Politics",0.41,natural
divided supreme court strikes part epas greenhouse gas regulations,"IAB11 Law, Gov’t & Politics",0.41,natural
fcc created net neutrality mess,"IAB11 Law, Gov’t & Politics",0.41,natural
adding dental care contrasts mo legislatures opposition medicaid,"IAB11 Law, Gov’t & Politics",0.41,natural
political earthquake shakes european parliament,"IAB11 Law, Gov’t & Politics",0.41,natural
colorado governor signs groundbreaking medication bill law gives,"IAB11 Law, Gov’t & Politics",0.41,natural
ny towns ban fracking state court rules,"IAB11 Law, Gov’t & Politics",0.41,natural
partisan showdown mental health bills,"IAB11 Law, Gov’t & Politics",0.41,natural
fda looks regulate ecigarette marketing,"IAB11 Law, Gov’t & Politics",0.41,natural
obama equal pay actions match senate democrat agenda,"IAB11 Law, Gov’t & Politics",0.41,natural
fda proposes program faster approval medical devices,"IAB11 Law, Gov’t & Politics",0.41,natural
obama sebelius go history obamacare,"IAB11 Law, Gov’t & Politics",0.41,natural
bill require mandatory killswitch feature cellphones passes senate,"IAB11 Law, Gov’t & Politics",0.41,natural
congress stay focused repealing obamacare,"IAB11 Law, Gov’t & Politics",0.4,natural
obamacare deadline extended,"IAB11 Law, Gov’t & Politics",0.4,natural
poll obama health law fails gain support,"IAB11 Law, Gov’t & Politics",0.4,natural
electronic cigarette industry awaits looming fda regulation,"IAB11 Law, Gov’t & Politics",0.4,natural
missouri house committee considers marijuana legalization,"IAB11 Law, Gov’t & Politics",0.4,natural
california lawmakers greenlight mobile killswitch bill,"IAB11 Law, Gov’t & Politics",0.4,natural
nipping heals fccs net neutrality proceeding legislators introduce bill,"IAB11 Law, Gov’t & Politics",0.4,natural
state tax grab,"IAB11 Law, Gov’t & Politics",0.4,natural
fcc backing net neutrality,"IAB11 Law, Gov’t & Politics",0.4,natural
executives caterpillar heading capitol hill explain controversial tax,"IAB11 Law, Gov’t & Politics",0.4,natural
sebelius resigns obamacare website troubles dog white house,"IAB11 Law, Gov’t & Politics",0.4,natural
white house orders broader obamacare health plans 2015,"IAB11 Law, Gov’t & Politics",0.4,natural
politicians add fuel firestorm gileads hep c drug pricing,"IAB11 Law, Gov’t & Politics",0.4,natural
monday deadline sign obamacare,"IAB11 Law, Gov’t & Politics",0.4,natural
congressmen introduce competing mental health bills,"IAB11 Law, Gov’t & Politics",0.4,natural
calif lift med malpractice cap gets closer ballot,"IAB11 Law, Gov’t & Politics",0.4,natural
senate probes flash boys controversy,"IAB11 Law, Gov’t & Politics",0.4,natural
regulators pave way internet fast lane net neutrality rules,"IAB11 Law, Gov’t & Politics",0.4,natural
seti gets day congress lawmakers fund search et,"IAB11 Law, Gov’t & Politics",0.4,natural
fda wants ban ecigarette sales minors,"IAB11 Law, Gov’t & Politics",0.4,natural
government pressure lift gmo ban,"IAB11 Law, Gov’t & Politics",0.4,natural
obamacare deadline looms,"IAB11 Law, Gov’t & Politics",0.4,natural
future new epa power plant rules depends states,"IAB11 Law, Gov’t & Politics",0.4,natural
fccs first action nears opposition new net neutrality rules appears,"IAB11 Law, Gov’t & Politics",0.4,natural
student debt federal loan policy take center stage senate hearing,"IAB11 Law, Gov’t & Politics",0.4,natural
obamacare affecting competition among health insurers,"IAB11 Law, Gov’t & Politics",0.4,natural
state lawmakers press ecig ban,"IAB11 Law, Gov’t & Politics",0.4,natural
supreme court clears way bulk obamas global warming regulations,"IAB11 Law, Gov’t & Politics",0.4,natural
virginia governor directs review new abortion clinic regulations,"IAB11 Law, Gov’t & Politics",0.4,natural
video sheryl sandberg im running office,"IAB11 Law, Gov’t & Politics",0.4,natural
tax hike extension vote expected end session,"IAB11 Law, Gov’t & Politics",0.4,natural
oz effect motivates congress condemn dr oz weight loss drugs,"IAB11 Law, Gov’t & Politics",0.39,natural
epa issues proposed carbon emissions rules,"IAB11 Law, Gov’t & Politics",0.39,natural
supreme court mostly upholds obama bid curb carbon emissions,"IAB11 Law, Gov’t & Politics",0.39,natural
rosenworcel delay vote net neutrality rules,"IAB11 Law, Gov’t & Politics",0.39,natural
lawmakers probe hospital pay shortstay patients,"IAB11 Law, Gov’t & Politics",0.39,natural
florida legislature hears marijuana bill tomorrow,"IAB11 Law, Gov’t & Politics",0.39,natural
gm victims families lawmakers blast recall delay want tougher law,"IAB11 Law, Gov’t & Politics",0.39,natural
victims families lawmakers plead gm push accountability,"IAB11 Law, Gov’t & Politics",0.39,natural
congress votes prevent dea interference states legal cannabis,"IAB11 Law, Gov’t & Politics",0.39,natural
fcc regulate broadband providers protect open internet,"IAB11 Law, Gov’t & Politics",0.39,natural
docs bill medicare financing top dems raking drug company rebates,"IAB11 Law, Gov’t & Politics",0.39,natural
mccrory counsel cooper politicized coal ash,"IAB11 Law, Gov’t & Politics",0.39,natural
mark carney faces lawmakers fx,"IAB11 Law, Gov’t & Politics",0.39,natural
judge wont stop ariz law limiting nonsurgical abortions,"IAB11 Law, Gov’t & Politics",0.39,natural
sen durbin urges fda regulate ecigarettes,"IAB11 Law, Gov’t & Politics",0.39,natural
obamacare individual health insurance mandate exemptions many,"IAB11 Law, Gov’t & Politics",0.39,natural
study obamacare mixed record spurring competition,"IAB11 Law, Gov’t & Politics",0.39,natural
supreme court justices let epa curb powerplant gases limits,"IAB11 Law, Gov’t & Politics",0.39,natural
senate passes medical marijuana dispensary bill,"IAB11 Law, Gov’t & Politics",0.39,natural
rbi governor warns turmoil markets lok sabha polls deliver unstable govt,"IAB11 Law, Gov’t & Politics",0.39,natural
capitol alert california senate switches supports cell phone kill switch,"IAB11 Law, Gov’t & Politics",0.39,natural
constitutional look obamacare made todays historic deadline,"IAB11 Law, Gov’t & Politics",0.39,natural
house republican leaders prepare official obamacare alternative,"IAB11 Law, Gov’t & Politics",0.39,natural
irs tackle political spending rule,"IAB11 Law, Gov’t & Politics",0.39,natural
state roundup federal judge lets ariz abortion rules stand mich medicaid,"IAB11 Law, Gov’t & Politics",0.39,natural
house gop bill would exempt schools healthier lunch rules,"IAB11 Law, Gov’t & Politics",0.39,natural
senate panel debate us housing finance vote scheduled,"IAB11 Law, Gov’t & Politics",0.39,natural
ecig laws update congress pushes stronger ecigarette regulations,"IAB11 Law, Gov’t & Politics",0.39,natural
california kill switch bill advances,"IAB11 Law, Gov’t & Politics",0.39,natural
feds may increase gasoline tax,"IAB11 Law, Gov’t & Politics",0.39,natural
toryism wont protect welfare state tackle climate change baton,"IAB11 Law, Gov’t & Politics",0.39,natural
house vote skilled nursing facility readmissions penalties icd10 extension,"IAB11 Law, Gov’t & Politics",0.39,natural
california gov jerry brown signs measure repealing glove requirement,"IAB11 Law, Gov’t & Politics",0.39,natural
supreme court places limits epas greenhouse gas rules power plants,"IAB11 Law, Gov’t & Politics",0.38,natural
state highlights nc lawmakers reach medicaid agreement idaho asks scotus,"IAB11 Law, Gov’t & Politics",0.38,natural
obama wants help people losing insurance legal practical obstacles,"IAB11 Law, Gov’t & Politics",0.38,natural
senate committee supports bill give state control limiting carbon dioxide,"IAB11 Law, Gov’t & Politics",0.38,natural
senate puts gse housing reform bill indefinite hold,"IAB11 Law, Gov’t & Politics",0.38,natural
colorado governor signs nations first right try bill law,"IAB11 Law, Gov’t & Politics",0.38,natural
cabinet mull bitcoin regulation necessary,"IAB11 Law, Gov’t & Politics",0.38,natural
democrats unveil legislation forcing fcc ban internet fast lanes,"IAB11 Law, Gov’t & Politics",0.38,natural
abortion clinic limits tested wisconsin alabama,"IAB11 Law, Gov’t & Politics",0.38,natural
insiders democrats bail obamacare,"IAB11 Law, Gov’t & Politics",0.38,natural
obama administrations focus new proposed clean air regulations,"IAB11 Law, Gov’t & Politics",0.38,natural
lawmakers scrap plan raise tobacco age 21,"IAB11 Law, Gov’t & Politics",0.38,natural
protesters oppose new tenn electric chair law,"IAB11 Law, Gov’t & Politics",0.38,natural
california gears vote water wasting law tuesday,"IAB11 Law, Gov’t & Politics",0.38,natural
obama power plant rule shrink power prices,"IAB11 Law, Gov’t & Politics",0.38,natural
vermont governor peter shumlin sign genetically modified food label bill,"IAB11 Law, Gov’t & Politics",0.38,natural
california sticks march 31 deadline obamacare,"IAB11 Law, Gov’t & Politics",0.38,natural
obama defends new carbon emission rules face mounting backlash,"IAB11 Law, Gov’t & Politics",0.38,natural
jerry brown signs law legalizing bitcoin california,"IAB11 Law, Gov’t & Politics",0.38,natural
san francisco presses feds end ban gay male blood donations,"IAB11 Law, Gov’t & Politics",0.38,natural
congressional report says ecigarette industry regulated,"IAB11 Law, Gov’t & Politics",0.38,natural
fda backs animal feed rule,"IAB11 Law, Gov’t & Politics",0.38,natural
supreme court puts limits power plant rules,"IAB11 Law, Gov’t & Politics",0.38,natural
bill create lyme disease task force awaits gov corbetts signature,"IAB11 Law, Gov’t & Politics",0.38,natural
washingtons marijuana milestone federal law,"IAB11 Law, Gov’t & Politics",0.38,natural
sen al franken media megamergers fcc rollback net neutrality,"IAB11 Law, Gov’t & Politics",0.37,natural
us sen schumer wants tighter trucking regulations,"IAB11 Law, Gov’t & Politics",0.37,natural
obama administration pushes stop companies looking overseas,"IAB11 Law, Gov’t & Politics",0.37,natural
health law legacy reach president,"IAB11 Law, Gov’t & Politics",0.37,natural
vt senate passes bill reducing medical marijuana limits,"IAB11 Law, Gov’t & Politics",0.37,natural
house committee investigating gm recall,"IAB11 Law, Gov’t & Politics",0.37,natural
key lawmaker medical marijuana talks stalemate,"IAB11 Law, Gov’t & Politics",0.37,natural
obama climate rules cant wait til election,"IAB11 Law, Gov’t & Politics",0.37,natural
california kill switch bill passes state senate,"IAB11 Law, Gov’t & Politics",0.37,natural
schumer wants tighter trucking regulations,"IAB11 Law, Gov’t & Politics",0.37,natural
yellen preps wall st wholesale funding rules fed,"IAB11 Law, Gov’t & Politics",0.37,natural
fcc boss launches campaign defend net neutrality proposal,"IAB11 Law, Gov’t & Politics",0.37,natural
nc senate wants tighten proposed coal ash regulation,"IAB11 Law, Gov’t & Politics",0.37,natural
detroit pension deals taking shape attention shifts michigan lawmakers,"IAB11 Law, Gov’t & Politics",0.37,natural
colorado governor signs legislation protect children recreational marijuana,"IAB11 Law, Gov’t & Politics",0.37,natural
lawmaker push bill legalize aerial fireworks,"IAB11 Law, Gov’t & Politics",0.37,natural
fda begin regulating ecigarettes like tobacco,"IAB11 Law, Gov’t & Politics",0.37,natural
fda moves ban sales ecigarettes minors,"IAB11 Law, Gov’t & Politics",0.37,natural
fcc plans new net neutrality rules,"IAB11 Law, Gov’t & Politics",0.37,natural
hospital patients healthier obamacare,"IAB11 Law, Gov’t & Politics",0.37,natural
fda moves ban sale ecigarettes minors,"IAB11 Law, Gov’t & Politics",0.37,natural
states obamacare deadline pushed back april 15,"IAB11 Law, Gov’t & Politics",0.37,natural
obama nominates new hhs secretary fix obamacare,"IAB11 Law, Gov’t & Politics",0.37,natural
supreme court hits obamas global warming agenda,"IAB11 Law, Gov’t & Politics",0.37,natural
supreme court upholds epas right regulate powerplant emissionswith,"IAB11 Law, Gov’t & Politics",0.37,natural
lawmakers charge ecigarettes target youth,"IAB11 Law, Gov’t & Politics",0.37,natural
yellen says fed examining additional bank rules,"IAB11 Law, Gov’t & Politics",0.37,natural
big jail bank law says us attorney general eric holder,"IAB11 Law, Gov’t & Politics",0.37,natural
letter obamacare government control,"IAB11 Law, Gov’t & Politics",0.37,natural
heineman sign nebraska autism coverage bill,"IAB11 Law, Gov’t & Politics",0.37,natural
sebelius obamacare extension extension,"IAB11 Law, Gov’t & Politics",0.37,natural
obama enough people signed health law work,"IAB11 Law, Gov’t & Politics",0.37,natural
florida medicaid privatization underway statewide,"IAB11 Law, Gov’t & Politics",0.37,natural
obama lets nsa legally exploit certain internet security flaws,"IAB11 Law, Gov’t & Politics",0.36,natural
alabama abortion law challenge must go trial judge rules,"IAB11 Law, Gov’t & Politics",0.36,natural
sierra leone declares state emergency,"IAB11 Law, Gov’t & Politics",0.36,natural
lawmaker accuses gm criminally deceiving govt,"IAB11 Law, Gov’t & Politics",0.36,natural
california passes law legalize digital currencies,"IAB11 Law, Gov’t & Politics",0.36,natural
kancare meets obamacare,"IAB11 Law, Gov’t & Politics",0.36,natural
cash prizes signing obamacare,"IAB11 Law, Gov’t & Politics",0.36,natural
temporary obamacare program extended,"IAB11 Law, Gov’t & Politics",0.36,natural
illinois legislature leads great lakes push ban microbeads,"IAB11 Law, Gov’t & Politics",0.36,natural
fcc chair changes tune net neutrality,"IAB11 Law, Gov’t & Politics",0.36,natural
eus top court throws british challenge financial transaction tax,"IAB11 Law, Gov’t & Politics",0.36,natural
fda proposes regulation ecigarettes,"IAB11 Law, Gov’t & Politics",0.36,natural
california senate approves smartphone kill switch law,"IAB11 Law, Gov’t & Politics",0.36,natural
fcc chair defends net neutrality plans,"IAB11 Law, Gov’t & Politics",0.36,natural
lawsuit warns politicians climate change cost,"IAB11 Law, Gov’t & Politics",0.36,natural
supreme court declines hear cases challenging obamacare,"IAB11 Law, Gov’t & Politics",0.36,natural
supreme court largely backs obamas emissions cuts,"IAB11 Law, Gov’t & Politics",0.36,natural
lawmakers ask fda examine new ecigarette research,"IAB11 Law, Gov’t & Politics",0.36,natural
colorado becomes first state approve bill giving terminally ill access,"IAB11 Law, Gov’t & Politics",0.36,natural
arizona curb medicinal abortion takes effect ruling 1,"IAB11 Law, Gov’t & Politics",0.36,natural
criminal probe surrounding gm recall,"IAB11 Law, Gov’t & Politics",0.36,natural
health secretary resigns obamacare launch woes,"IAB11 Law, Gov’t & Politics",0.36,natural
illinois house committee says gay conversion therapy,"IAB11 Law, Gov’t & Politics",0.36,natural
supreme court limits lets epa curb powerplant gases,"IAB11 Law, Gov’t & Politics",0.36,natural
governor signs nations first right try bill law,"IAB11 Law, Gov’t & Politics",0.36,natural
fcc refuses delay vote net neutrality rules,"IAB11 Law, Gov’t & Politics",0.36,natural
letter nature attack kansas legislature,"IAB11 Law, Gov’t & Politics",0.36,natural
legal challenge alabama abortion law go trial judge rules,"IAB11 Law, Gov’t & Politics",0.36,natural
obama adm makes adjustments offset insurers health law losses,"IAB11 Law, Gov’t & Politics",0.36,natural
medical marijuana bill sham,"IAB11 Law, Gov’t & Politics",0.36,natural
comes next health care law,"IAB11 Law, Gov’t & Politics",0.36,natural
house gop bill would allow schools opt healthier school lunches,"IAB11 Law, Gov’t & Politics",0.36,natural
california lawmakers advance smartphone kill switch bill,"IAB11 Law, Gov’t & Politics",0.36,natural
state house notebook medicaid vote looms speculation shifts campaign,"IAB11 Law, Gov’t & Politics",0.36,natural
republican lawmakers tie detroit aid 20 years state supervision,"IAB11 Law, Gov’t & Politics",0.36,natural
legalizing pot dc headed november ballot,"IAB11 Law, Gov’t & Politics",0.36,natural
bill legalize marijuana missouri moves ahead house,"IAB11 Law, Gov’t & Politics",0.36,natural
virginia governor takes first step toward repealing extreme abortion,"IAB11 Law, Gov’t & Politics",0.36,natural
mcauliffe issues directive review va abortion clinic building regulations,"IAB11 Law, Gov’t & Politics",0.36,natural
kill switch bill approved california senate,"IAB11 Law, Gov’t & Politics",0.36,natural
new yorks highest court says towns use zoning ban fracking,"IAB11 Law, Gov’t & Politics",0.36,natural
first woman arrested tennessee law criminalizes pregnancy outcomes,"IAB11 Law, Gov’t & Politics",0.36,natural
white house extends enrollment deadline obamacare,"IAB11 Law, Gov’t & Politics",0.35,natural
time fda regulated ecigarettes,"IAB11 Law, Gov’t & Politics",0.35,natural
wyden colleagues fcc protect net neutrality,"IAB11 Law, Gov’t & Politics",0.35,natural
supreme court trims epas ability regulate greenhouse gas emissions,"IAB11 Law, Gov’t & Politics",0.35,natural
officials scramble enforce new state water limits,"IAB11 Law, Gov’t & Politics",0.35,natural
california gives approval kill switch bill,"IAB11 Law, Gov’t & Politics",0.35,natural
schnurman texans pass obamacare,"IAB11 Law, Gov’t & Politics",0.35,natural
mixed opinion high court lets epa regulate power plants carbon,"IAB11 Law, Gov’t & Politics",0.35,natural
bill affecting skilled nursing facility payments icd10 deadline passes house,"IAB11 Law, Gov’t & Politics",0.35,natural
obama administration releases 2014 national drug policy strategy,"IAB11 Law, Gov’t & Politics",0.35,natural
7 million sign obamacare,"IAB11 Law, Gov’t & Politics",0.35,natural
stock futures ease lower congress probe gm recall japanese bank eyes,"IAB11 Law, Gov’t & Politics",0.35,natural
obama sign executive order equal pay,"IAB11 Law, Gov’t & Politics",0.35,natural
ny senate holds hearing ecigarette regulations,"IAB11 Law, Gov’t & Politics",0.35,natural
judge wont block abortion drug rules,"IAB11 Law, Gov’t & Politics",0.35,natural
impact obamacare berks county,"IAB11 Law, Gov’t & Politics",0.35,natural
official ny attorney general subpoenas 6 firms probe highspeed stock,"IAB11 Law, Gov’t & Politics",0.35,natural
controversial alaska mine project wins one congress,"IAB11 Law, Gov’t & Politics",0.35,natural
obama says powerplant rule shrink prices,"IAB11 Law, Gov’t & Politics",0.35,natural
gm safety agency face congressional grilling recalls,"IAB11 Law, Gov’t & Politics",0.35,natural
fda proposes extending oversight tobacco ecigarettes,"IAB11 Law, Gov’t & Politics",0.35,natural
states sue 5hour energy drink advertising,"IAB11 Law, Gov’t & Politics",0.35,natural
twitter pushing doj fbi let disclose info national security,"IAB11 Law, Gov’t & Politics",0.35,natural
john olivers net neutrality response swamps fcc,"IAB11 Law, Gov’t & Politics",0.35,natural
court upholds pollution rules power plants,"IAB11 Law, Gov’t & Politics",0.35,natural
fda begin regulating laboratory test devices,"IAB11 Law, Gov’t & Politics",0.35,natural
supreme court cuts back climate change regulation,"IAB11 Law, Gov’t & Politics",0.35,natural
really sign lastminute obamacare answers,"IAB11 Law, Gov’t & Politics",0.35,natural
small limits supreme court backs epa authority carbon emissions,"IAB11 Law, Gov’t & Politics",0.35,natural
state drops plan prohibit medical pot users owning guns,"IAB11 Law, Gov’t & Politics",0.35,natural
captiol alert big california ballot battle looms malpractice limit,"IAB11 Law, Gov’t & Politics",0.35,natural
fda outlines plan regulate ecigarettes,"IAB11 Law, Gov’t & Politics",0.35,natural
illinois attorney general files lawsuits alleging student loan debt scams,"IAB11 Law, Gov’t & Politics",0.35,natural
